season,season_type,player_id,player_name,position,position_group,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2023,REG,00-0039139,J.Gibbs,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,182,945,10,2,1,42,-5.18102973,0,52,71,316,1,0,0,8,314,20,-11.15323508,0,39.5,0.140316206,0.002234013,0.212038117,0,190.1,242.1
2023,REG,00-0039144,L.Musgrave,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,34,46,352,1,0,0,344,169,14,12.02978733,0,1.023255814,0.127071823,0.107298815,0.265716905,0,41.2,75.2
2023,REG,00-0039146,J.Reed,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,11,119,2,0,0,6,5.48142744,0,64,94,793,8,0,0,970,335,32,33.29926166,1,0.817525773,0.175700935,0.211744161,0.411772314,0,153.2,217.2
2023,REG,00-0039150,B.Young,QB,QB,315,527,2877,11,10,62,477,9,6,4009,1300,133,-160.3264419,1,0.717635321,0.016179533,39,253,0,2,0,18,21.61629952,1,0,0,0,0,0,0,0,0,0,,0,,,,,0,156.38,156.38
2023,REG,00-0039152,W.Levis,QB,QB,149,255,1808,8,4,28,185,5,2,2688,746,81,-13.88649084,1,0.672619048,0.039562527,25,57,1,2,2,7,-9.428326835,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,102.02,102.02
2023,REG,00-0039163,C.Stroud,QB,QB,319,499,4108,23,5,38,331,6,3,4481,1762,188,64.82617261,0,0.916759652,0.095174471,39,157,3,2,1,17,6.004495691,1,1,1,0,0,0,0,-1,1,0,-0.87324372,0,0,0.023255814,-0.003846154,0.032191413,0,274.02,275.02
2023,REG,00-0039164,A.Richardson,QB,QB,50,84,577,3,1,7,29,1,0,676,297,31,4.587791287,2,0.853550296,0.022982738,25,136,4,2,1,8,0.430104339,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,72.68,72.68
2023,REG,00-0039165,Z.Charbonnet,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,108,462,1,0,0,32,-7.121667025,0,33,40,209,0,0,0,-41,248,7,-4.693211385,0,-5.097560976,0.080160321,-0.011778225,0.111995724,0,73.1,106.1
2024,REG,00-0023459,A.Rodgers,QB,QB,368,584,3897,28,11,40,302,5,2,4014,2119,192,10.13099345,2,0.970852018,0.05907822,22,107,0,0,0,7,4.28056436,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,256.58,256.58
2024,REG,00-0024243,M.Lewis,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,2,0,0,0,1,1,1,0.064604743,0,2,0.038461538,0.009708738,0.064488424,0,0.2,1.2
2024,REG,00-0026158,J.Flacco,QB,QB,162,248,1761,12,7,18,123,3,3,2215,651,87,2.999385872,0,0.79503386,0.080153963,9,26,0,1,1,2,-7.002136736,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,99.04,99.04
2024,REG,00-0026300,J.Johnson,QB,QB,2,3,17,0,0,1,5,0,0,53,2,1,-1.809735511,0,0.320754717,,4,1,0,0,0,0,-3.56283131,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.78,0.78
2024,REG,00-0026498,M.Stafford,QB,QB,340,517,3762,20,8,28,213,4,2,3869,1726,176,34.7347501,0,0.972344275,0.086895501,30,41,0,2,0,10,-3.011842659,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,214.58,214.58
2024,REG,00-0027973,A.Dalton,QB,QB,106,160,989,7,6,7,37,1,0,1062,459,50,-18.09589133,0,0.93126177,0.028268146,11,34,0,0,0,2,-3.431674594,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,58.96,58.96
2024,REG,00-0028118,T.Taylor,QB,QB,17,22,119,3,0,0,0,0,0,88,68,9,11.90408613,1,1.352272727,0.274118108,3,13,0,1,0,0,-0.676485965,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,20.06,20.06
2024,REG,00-0028872,J.Hekker,P,SPEC,0,2,0,0,0,0,0,0,0,28,0,0,-5.71203473,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0
2024,REG,00-0028899,R.McLeod,FS,DB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,1,6,6
2024,REG,00-0029263,R.Wilson,QB,QB,214,336,2482,16,5,33,219,3,2,2668,1122,112,-0.964512999,0,0.930284858,0.083751503,43,155,2,2,2,16,-7.594189534,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,172.78,172.78
2024,REG,00-0029604,K.Cousins,QB,QB,303,453,3508,18,16,28,201,7,2,3374,1687,163,22.08138802,0,1.039715471,0.084049037,23,0,0,5,0,2,-16.7720964,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,176.32,176.32
2024,REG,00-0029692,B.Anger,P,SPEC,1,2,4,0,0,0,0,0,0,11,0,0,-5.687022809,0,0.363636364,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.16,0.16
2024,REG,00-0029892,K.Juszczyk,FB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,5,26,1,1,1,1,-7.290050433,0,19,31,200,2,0,0,193,93,8,-0.084756762,0,1.03626943,0.077694236,0.056399766,0.15602119,0,38.6,57.6
2024,REG,00-0030035,A.Thielen,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,48,62,615,5,0,0,692,152,28,40.42908319,0,0.888728324,0.201954397,0.258691589,0.484015708,0,91.5,139.5
2024,REG,00-0030061,Z.Ertz,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,66,91,654,7,1,0,686,187,38,28.87654148,2,0.95335277,0.180555556,0.17721519,0.394883966,0,111.4,177.4
2024,REG,00-0030279,K.Allen,WR,WR,0,1,0,0,1,0,0,0,0,14,0,0,-5.911163269,0,0,,0,0,0,0,0,0,,0,70,121,744,7,1,0,1115,240,43,23.1648399,0,0.667264574,0.272522523,0.326596368,0.637401241,0,114.4,184.4
2024,REG,00-0030431,R.Woods,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,20,30,203,0,3,1,284,73,12,0.984630997,0,0.714788732,0.075566751,0.085852479,0.173446861,0,18.3,38.3
2024,REG,00-0030506,T.Kelce,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,1,0,0,0,0,-0.092226896,0,97,133,823,3,2,1,883,341,46,21.57375088,0,0.93204983,0.23963964,0.2481034,0.533131839,0,98.4,195.4
2024,REG,00-0030564,D.Hopkins,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,56,80,610,5,1,0,896,109,35,19.20922596,0,0.680803571,0.144665461,0.229861467,0.377901219,0,91,147
2024,REG,00-0030565,G.Smith,QB,QB,407,578,4320,21,15,50,338,4,0,3996,2181,209,24.59409639,0,1.081081081,0.109732391,53,272,2,4,0,17,1.241315049,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,266,266
2024,REG,00-0030578,C.Patterson,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,32,135,0,1,1,7,-7.845347243,0,12,14,80,1,0,0,42,56,5,-3.486692915,0,1.904761905,0.069306931,0.031939163,0.12631781,0,25.5,37.5
2024,REG,00-0031235,O.Beckham,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,9,19,55,0,0,0,164,14,3,-11.28047259,0,0.335365854,0.069343066,0.112098428,0.182483498,0,5.5,14.5
2024,REG,00-0031236,B.Cooks,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,-3,0,0,0,0,-2.820467638,0,26,54,259,3,0,0,634,55,19,-11.12276629,0,0.40851735,0.159763314,0.243752403,0.410271652,0,43.6,69.6
2024,REG,00-0031280,D.Carr,QB,QB,189,279,2145,15,5,8,48,2,0,2178,1087,93,48.41037511,1,0.984848485,0.122220041,17,71,1,1,0,4,-1.094449932,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,150.9,150.9
2024,REG,00-0031299,J.Matthews,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,1,0,0,0,0,16,0,0,-0.581935274,0,0,0.034482759,0.045454545,0.08354232,0,0,0
2024,REG,00-0031345,J.Garoppolo,QB,QB,27,41,334,2,1,3,15,0,0,221,232,16,3.024632184,0,1.511312217,0.035713155,2,5,0,0,0,0,-1.988579761,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,19.86,19.86
2024,REG,00-0031357,C.Goodwin,CB,DB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,1,0,0,0,0,7,0,0,-2.977316482,0,0,0.020833333,0.023569024,0.047748316,0,0,0
2024,REG,00-0031381,D.Adams,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,85,141,1063,8,0,0,1172,473,49,19.67902474,1,0.906996587,0.294979079,0.374440895,0.704577245,0,156.3,241.3
2024,REG,00-0031408,M.Evans,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,74,110,1004,11,0,0,1274,226,53,38.52560735,0,0.788069074,0.240700219,0.391277641,0.634944677,0,166.4,240.4
