season,team,player_id
2023,NYJ,00-0034461
2023,WAS,00-0034465
2023,PIT,00-0034468
2023,ARI,00-0034473
2023,ATL,00-0034474
2023,GB,00-0034485
2023,BUF,00-0034487
2023,HOU,00-0034488
2023,ARI,00-0034490
2023,SEA,00-0034495
2023,WAS,00-0034496
2023,CAR,00-0034500
2023,IND,00-0034505
2023,PIT,00-0034514
2023,TB,00-0034515
2023,JAX,00-0034516
2023,NYJ,00-0034521
2023,TB,00-0034527
2023,IND,00-0034540
2023,LV,00-0034545
2023,WAS,00-0034571
2023,SF,00-0034573
2023,TB,00-0034575
2023,BUF,00-0034577
2023,WAS,00-0034587
2023,NE,00-0034591
2023,LV,00-0034593
2023,IND,00-0034603
2023,ATL,00-0034612
2023,CIN,00-0034613
2023,PIT,00-0034614
2023,ARI,00-0034623
2023,WAS,00-0034628
2023,IND,00-0034631
2023,CLE,00-0034639
2023,MIN,00-0034646
2023,KC,00-0034657
2023,WAS,00-0034662
2023,LV,00-0034667
2023,TB,00-0034668
2023,CHI,00-0034673
2023,DAL,00-0034674
2023,ATL,00-0034675
2023,IND,00-0034676
2023,CHI,00-0034677
2023,CIN,00-0034678
2023,TB,00-0034681
2023,IND,00-0034682
2023,TEN,00-0034683
2023,LV,00-0034720
2023,CLE,00-0034721
2023,CAR,00-0034723
2023,DEN,00-0034726
2023,GB,00-0034728
2023,HOU,00-0034730
2023,GB,00-0034732
2023,DAL,00-0034743
2023,DET,00-0034745
2023,CLE,00-0034746
2023,BUF,00-0034747
2023,PHI,00-0034750
2023,CIN,00-0034752
2023,BAL,00-0034753
2023,SF,00-0034754
2023,ATL,00-0034756
2023,LV,00-0034759
2023,NO,00-0034760
2023,DAL,00-0034762
2023,LV,00-0034763
2023,DAL,00-0034764
2023,DEN,00-0034765
2023,PIT,00-0034768
2023,CHI,00-0034769
2023,PIT,00-0034771
2023,TB,00-0034773
2023,SF,00-0034774
2023,JAX,00-0034775
2023,CAR,00-0034777
2023,TB,00-0034778
2023,IND,00-0034779
2023,NO,00-0034780
2023,MIN,00-0034782
2023,PIT,00-0034785
2023,NE,00-0034787
2023,PIT,00-0034789
2023,LAC,00-0034790
2023,CLE,00-0034791
2023,LV,00-0034792
2023,MIA,00-0034794
2023,BAL,00-0034796
2023,MIA,00-0034797
2023,MIA,00-0034798
2023,CIN,00-0034800
2023,ARI,00-0034801
2023,LA,00-0034803
