season,season_type,player_id,player_name,player_display_name,position,position_group,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2024,POST,00-0036912,D.Smith,DeVonta Smith,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,16,17,190,1,0,0,131,65,7,15.17988912,0,1.450381679,0.2,0.222033898,0.455423729,0,25,41
2024,POST,00-0036919,K.Gainwell,Kenneth Gainwell,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,13,42,0,0,0,3,-2.131134683,0,3,3,26,0,0,0,-8,34,1,1.478721487,0,-3.25,0.068181818,-0.029304029,0.081759907,0,6.8,9.8
2024,POST,00-0036945,J.Fields,Justin Fields,QB,QB,0,1,0,0,0,0,0,0,0,5,0,0,-0.470344614,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0
2024,POST,00-0036963,A.St. Brown,Amon-Ra St. Brown,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,8,10,137,0,0,0,89,61,7,10.51916275,0,1.539325843,0.256410256,0.255014327,0.563125413,0,13.7,21.7
2024,POST,00-0036997,J.Williams,Javonte Williams,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,7,29,0,0,0,0,-0.942174634,0,2,2,14,0,0,0,1,13,0,0.155827313,0,14,0.086956522,0.003636364,0.132980237,0,4.3,6.3
2024,POST,00-0037004,H.Long,Hunter Long,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,2,13,0,0,0,49,0,1,0.376875166,0,0.265306122,0.076923077,0.23902439,0.282701689,0,1.3,2.3
2024,POST,00-0037085,T.Badie,Tyler Badie,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,8,0,0,0,0,-0.240343912,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.8,0.8
2024,POST,00-0037086,G.Calcaterra,Grant Calcaterra,TE,TE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,4,0,0,0,4,0,0,-0.377142621,0,1,0.055555556,0.033333333,0.106666667,0,0.4,1.4
2024,POST,00-0037091,B.Melton,Bo Melton,WR,WR,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,3,16,0,0,0,64,0,1,-3.201662306,0,0.25,0.090909091,0.231046931,0.298096488,0,1.6,2.6
2024,POST,00-0037197,I.Pacheco,Isiah Pacheco,RB,RB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,13,37,0,0,0,0,-3.040986999,0,3,5,17,0,0,0,-1,19,2,-0.739310063,0,-17,0.061728395,-0.003003003,0.09049049,0,5.4,8.4
